state_name,first_name,last_name,spouse,address1,address2,city,state_abbr,zip,phone
Alabama,Kay,Ivey,,State Capitol,600 Dexter Avenue,Montgomery,AL,36130-2751,334-242-7100
Alaska,Mike,Dunleavy,Rose,State Capitol,P.O. Box 110001,Juneau,AK,99811-0001,907-465-3500
American Samoa,Lemanu P.S.,Magua,Ella,Executive Office Building,Third Floor,Pago Pago,AS,96799,684-633-4116
Arizona,Katie,Hobbs,Patrick Goodman,State Capitol,1700 West Washington St.,Phoenix,AZ,85007,602-542-4331
Arkansas,Asa,Hutchinson,Susan,State Capitol,"500 Woodlane Street, Room 250",Little Rock,AR,72201,501-682-2345
California,Gavin,Newsom,Jennifer Siebel,State Capitol,Suite 1173,Sacramento,CA,95814,916-445-2841
Colorado,Jared,Polis,Marlon Reis,136 State Capitol,,Denver,CO,80203-1792,303-866-2471
Connecticut,Ned,Lamont,Annie,210 Capitol Avenue,,Hartford,CT,06106,800-406-1527
Delaware,John,Carney,Tracey,Legislative Hall,,Dover,DE,19901,302-744-4101
Florida,Ron,DeSantis,Casey,The Capitol,400 South Monroe Street,Tallahassee,FL,32399-0001,850-488-7146
Georgia,Brian,Kemp,Marty,203 State Capitol,,Atlanta,GA,30334,404-656-1776
Guam,Lou,Leon Guerrero,Jeff Cook,Ricardo J Bordallo Governor’s Complex,513 West Marine Corps Drive,Hagatna,Guam,96910,671-472-8931
Hawaii,Josh,Green,Jaime Kanani Ushiroda,Executive Chambers,State Capitol,Honolulu,HI,96813,808-586-0034
Idaho,Brad,Little,Teresa Soulen,700 West Jefferson Street,2nd Floor,Boise,ID,83702,208-334-2100
Illinois,JB,Pritzker,MK,State Capital,207 Statehouse,Springfield,IL,62706,217-782-6830
Indiana,Eric,Holcomb,Janet,State House,Room 206,Indianapolis,IN,46204-2797,317-232-4567
Iowa,Kim,Reynolds,Kevin,State Capitol,,Des Moines,IA,50319-0001,515- 281-5211
Kansas,Laura,Kelly,Ted Daughety,"Capitol, 300 SW 10th Avenue",Suite 212S,Topeka,KS,66612-1590,785-296-3232
Kentucky,Andy,Beshear,Britainy,700 Capitol Avenue,Suite 100,Frankfort,KY,40601,502-564-2611
Louisiana,John Bel,Edwards,Donna,P.O. Box 94004,,Baton Rouge,LA,70804-9004,225-342-7015
Maine,Janet,Mills,,1 State House Station,,Augusta,ME,"04333",207-287-3531
Maryland,Larry,Hogan,Yumi,State House,100 State Circle,Annapolis,MD,21401,410-974-3901
Massachusetts,Charlie,Baker,Lauren,State House,Room 360,Boston,MA,"02133",617-725-4005
Michigan,Gretchen,Whitmer,Marc Mallory,P.O. Box 30013,,Lansing,MI,48909,517-373-3400
Minnesota,Tim,Walz,Gwen,130 State Capitol,75 Rev. Dr. Martin Luther King Jr. Blvd.,St. Paul,MN,55155,651-201-3400
Mississippi,Tate,Reeves,Elee,P.O. Box 139,,Jackson,MS,39205,601-359-3150
Missouri,Mike,Parson,Teresa,Capitol Building,"Room 216, P.O. Box 720",Jefferson City,MO,65102,573-751-3222
Montana,Greg,Gianforte,Susan,State Capitol,,Helena,MT,59620-0801,406-444-3111
Nebraska,Pete,Ricketts,Susanne Shore,P.O. Box 94848,,Lincoln,NE,68509-4848,402-471-2244
Nevada,Joe,Lombardo,Donna Alderson,Capitol Building,101 North Carson Street,Carson City,NV,89701,775-684-5670
New Hampshire,Chris,Sununu,Valerie,107 North Main Street,Room 208,Concord,NH,"03301",603-271-2121
New Jersey,Phil,Murphy,Tammy,The State House,P.O. Box 001,Trenton,NJ,08625,609-292-6000
New Mexico,Michelle,Lujan Grisham,,State Capitol,Fourth Floor,Santa Fe,NM,87501,505-476-2200
New York,Kathy,Hochul,William,State Capitol,,Albany,NY,12224,518- 474-8390
North Carolina,Roy,Cooper,Kristen,20301 Mail Service Center,,Raleigh,NC,27699-0301,919-814-2000
North Dakota,Doug,Burgum,Kathryn Helgaas,State Capitol,"600 East Boulevard Ave., Dept. 101",Bismarck,ND,58505-0001,701-328-2200
Northern Mariana Islands,Ralph Deleon Guerrero,Torres,Diann,Caller Box 10007,,Saipan,MP,96950,670-237-2200
Ohio,Mike,DeWine,Frances,77 South High Street,30th Floor,Columbus,OH,43215,614-466-3555
Oklahoma,Kevin,Stitt,Sarah,State Capitol Building,"2300 Lincoln Blvd., Room 212",Oklahoma City,OK,73105,405- 521-2342
Oregon,Kate,Brown,Dan Little,State Capitol Building,"900 Court Street NE, Suite 254",Salem,OR,97301-4047,503-378-4582
Pennsylvania,Tom,Wolf,Frances,Main Capitol Building,Room 225,Harrisburg,PA,17120,717-787-2500
Puerto Rico,Pedro,Pierluisi,,La Fortaleza,P.O. Box 9020082,San Juan,PR,00902-0082,787-721-2400
Rhode Island,Dan,McKee,Susan,State House,82 Smith Street,Providence,RI,"02903",401-222-2080
South Carolina,Henry,McMaster,Peggy,1205 Pendleton Street,,Columbia,SC,29201,803-734-2100
